,Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement_Rate
4,2023-03-31 19:43:42.590,CSGO,TWITTER,Community Engagement ,9517,1215,Video,12.76662813911947
6,2023-03-31 19:40:57.383,CSGO,TWITTER,Community Engagement ,1882,83,Photo,4.410201912858661
7,2023-03-31 19:23:57.349,CSGO,TWITTER,Community Engagement ,17892,3076,Video,17.192041135703107
9,2023-03-31 18:55:51.855,CSGO,TWITTER,Community Engagement ,13874,1447,Video,10.42958051030705
10,2023-03-31 18:36:01.000,General ,FBPAGE,Community Engagement ,37692,8044,Photo,21.341398705295553
11,2023-03-31 18:30:33.067,DOTA2,TWITTER,N/A ,1013,153,Link,15.103652517275421
12,2023-03-31 18:28:16.346,DOTA2,TWITTER,N/A ,4630,339,Photo,7.3218142548596115
13,2023-03-31 18:21:55.727,CSGO,TWITTER,Community Engagement ,2289,41,Photo,1.7911751856705984
14,2023-03-31 17:11:28.436,General ,TWITTER,Community Engagement ,5216,113,Text,2.166411042944785
15,2023-03-31 17:09:27.380,CSGO,TWITTER,Community Engagement ,841,13,Photo,1.5457788347205708
16,2023-03-31 16:50:52.905,General ,TWITTER,Community Engagement ,6498,123,Text,1.8928901200369344
17,2023-03-31 16:50:09.734,General ,TWITTER,Community Engagement ,8321,133,Text,1.5983655810599688
18,2023-03-31 16:38:57.956,General ,TWITTER,Community Engagement ,953,36,Text,3.777544596012592
20,2023-03-31 16:22:27.031,DOTA2,TWITTER,Community Engagement ,954,28,Photo,2.9350104821802936
21,2023-03-31 16:22:26.000,General ,FBPAGE,Community Engagement ,42328,8936,Photo,21.11132111132111
22,2023-03-31 16:20:25.944,General ,TWITTER,Community Engagement ,28260,1018,Photo,3.602264685067233
23,2023-03-31 15:59:00.879,CSGO,TWITTER,Community Engagement ,3793,72,Photo,1.8982335881887686
24,2023-03-31 15:48:26.281,General ,TWITTER,Community Engagement ,1927,155,Text,8.043591074208614
25,2023-03-31 15:27:46.732,DOTA2,TWITTER,N/A ,766,15,Text,1.95822454308094
26,2023-03-31 15:27:21.222,General ,TWITTER,Community Engagement ,20434,231,Text,1.1304688264656944
27,2023-03-31 15:11:16.030,DOTA2,TWITTER,N/A ,1242,28,Video,2.254428341384863
28,2023-03-31 14:52:42.504,General ,TWITTER,Community Engagement ,311,10,Video,3.215434083601286
29,2023-03-31 14:46:34.525,General ,TWITTER,Community Engagement ,33768,350,Photo,1.0364842454394694
30,2023-03-31 14:44:50.109,DOTA2,TWITTER,N/A ,1154,23,Photo,1.9930675909878681
31,2023-03-31 14:42:20.328,General ,TWITTER,Community Engagement ,362,8,Text,2.209944751381215
32,2023-03-31 14:41:21.456,DOTA2,TWITTER,N/A ,762,23,Photo,3.0183727034120733
33,2023-03-31 14:40:08.379,General ,TWITTER,Community Engagement ,14123,166,Photo,1.1753876655101607
34,2023-03-31 14:30:18.135,DOTA2,TWITTER,N/A ,21,3,Text,14.285714285714285
35,2023-03-31 14:27:49.874,DOTA2,TWITTER,N/A ,612,7,Text,1.1437908496732025
36,2023-03-31 14:27:02.000,General ,INSTAGRAM,Community Engagement ,5579,0,Photo,0.0
37,2023-03-31 14:16:43.582,DOTA2,TWITTER,N/A ,1048,42,Photo,4.007633587786259
39,2023-03-31 14:05:17.944,DOTA2,TWITTER,Community Engagement ,8619,288,Photo,3.3414549251653325
40,2023-03-31 14:05:17.000,General ,FBPAGE,Community Engagement ,17222,952,Photo,5.5278132621066085
41,2023-03-31 14:03:08.279,General ,TWITTER,Community Engagement ,40108,540,Photo,1.3463648149995013
42,2023-03-31 13:36:33.000,General ,INSTAGRAM,Evergreen ,1257,18,Video,1.431980906921241
43,2023-03-31 13:36:05.000,General ,TIKTOK_BUSINESS,Evergreen ,145,4,Video,2.7586206896551726
44,2023-03-31 13:09:36.838,General ,TWITTER,Community Engagement ,2332,61,Video,2.615780445969125
45,2023-03-31 13:00:03.309,DOTA2,TWITTER,Community Engagement ,441,23,Photo,5.215419501133787
46,2023-03-31 13:00:01.586,DOTA2,TWITTER,Community Engagement ,7403,168,Photo,2.2693502634067273
47,2023-03-31 13:00:00.000,General ,FBPAGE,Community Engagement ,36197,5408,Photo,14.94046467939332
48,2023-03-31 12:00:13.000,General ,INSTAGRAM,Community Engagement ,16930,499,Photo,2.947430596574129
49,2023-03-31 12:00:02.794,General ,TWITTER,Community Engagement ,11682,167,Photo,1.4295497346344805
50,2023-03-31 11:30:09.000,General ,FBPAGE,Community Engagement ,13774,1396,Photo,10.1350370262814
51,2023-03-31 11:30:09.000,General ,FBPAGE,Community Engagement ,13774,1396,Photo,10.1350370262814
52,2023-03-31 11:30:09.000,General ,FBPAGE,Community Engagement ,27547,2791,Photo,10.131774784913057
53,2023-03-31 11:30:08.717,DOTA2,TWITTER,Community Engagement ,2829,265,Photo,9.367267585719336
55,2023-03-31 09:28:39.000,General ,INSTAGRAM,Evergreen ,12911,157,Video,1.216017349546898
56,2023-03-31 09:28:07.000,General ,TIKTOK_BUSINESS,Evergreen ,923,44,Video,4.7670639219935
57,2023-03-31 08:36:30.200,DOTA2,TWITTER,N/A ,338,14,Photo,4.142011834319527
59,2023-03-30 18:42:03.966,CSGO,TWITTER,Community Engagement ,998,20,Photo,2.004008016032064
60,2023-03-30 17:35:45.916,CSGO,TWITTER,Community Engagement ,1322,12,Photo,0.9077155824508321
61,2023-03-30 17:08:01.676,CSGO,TWITTER,Community Engagement ,1416,231,Video,16.3135593220339
66,2023-03-30 16:33:35.000,General ,FBPAGE,Community Engagement ,21273,1994,Photo,9.373384101913224
67,2023-03-30 16:33:11.000,General ,FBPAGE,Community Engagement ,122342,9207,Text,7.525624887610142
68,2023-03-30 16:31:38.362,CSGO,TWITTER,Community Engagement ,2836,64,Photo,2.2566995768688294
69,2023-03-30 16:30:41.285,DOTA2,TWITTER,N/A ,9781,434,Photo,4.437174113076373
70,2023-03-30 16:30:04.000,General ,INSTAGRAM,Community Engagement ,30760,1678,Photo,5.455136540962289
71,2023-03-30 16:29:52.463,General ,TWITTER,Community Engagement ,12988,217,Photo,1.6707730212503848
72,2023-03-30 16:29:50.000,General ,FBPAGE,Community Engagement ,40387,1724,Photo,4.2687003243618
73,2023-03-30 16:16:12.444,DOTA2,TWITTER,Community Engagement ,3485,143,Photo,4.103299856527977
74,2023-03-30 16:16:12.000,General ,FBPAGE,Community Engagement ,25017,2799,Photo,11.188391893512412
75,2023-03-30 15:32:04.788,DOTA2,TWITTER,Community Engagement ,1744,81,Text,4.644495412844036
76,2023-03-30 15:32:04.000,General ,FBPAGE,Community Engagement ,32581,6342,Text,19.465332555784045
77,2023-03-30 15:12:35.000,General ,INSTAGRAM,Evergreen ,76,3,Video,3.9473684210526314
78,2023-03-30 15:12:07.000,General ,TIKTOK_BUSINESS,Evergreen ,870,78,Video,8.96551724137931
79,2023-03-30 14:00:02.636,General ,TWITTER,Community Engagement ,9657,77,Photo,0.7973490732111421
82,2023-03-30 13:40:37.909,CSGO,TWITTER,Community Engagement ,258,9,Text,3.488372093023256
83,2023-03-30 13:40:26.079,CSGO,TWITTER,Community Engagement ,67,1,Text,1.4925373134328357
86,2023-03-30 13:32:59.729,General ,TWITTER,Community Engagement ,29434,138,Text,0.4688455527621118
88,2023-03-30 13:11:36.576,DOTA2,TWITTER,Community Engagement ,4588,84,Photo,1.8308631211857016
89,2023-03-30 13:11:36.000,General ,FBPAGE,Community Engagement ,12104,1627,Photo,13.441837409120952
90,2023-03-30 13:08:44.000,Content Creators,YOUTUBE,N/A ,1728,35,Video,2.025462962962963
91,2023-03-30 13:08:14.975,General ,TWITTER,Community Engagement ,9262,119,Video,1.2848196933707623
92,2023-03-30 13:05:00.000,Content Creators,YOUTUBE,N/A ,8,0,Video,0.0
93,2023-03-30 13:00:00.000,General ,FBPAGE,Community Engagement ,9903,445,Video,4.493587801676259
94,2023-03-30 12:00:48.453,General ,TWITTER,Evil Exhibited ,778,15,Text,1.9280205655526992
96,2023-03-30 11:03:00.000,General ,INSTAGRAM,Evil Exhibited ,7028,100,Video,1.4228799089356858
97,2023-03-30 11:00:45.796,DOTA2,TWITTER,N/A ,1451,47,Text,3.239145416953825
99,2023-03-30 11:00:01.000,General ,FBPAGE,Evil Exhibited ,9273,306,Video,3.299902944031058
100,2023-03-30 11:00:00.640,General ,TWITTER,Evil Exhibited ,52669,2713,Video,5.151037612257685
104,2023-03-30 10:50:23.000,Valorant,YOUTUBE,Evil Exhibited ,356,18,Video,5.056179775280898
108,2023-03-30 10:07:19.000,General ,INSTAGRAM,Evergreen ,12500,185,Video,1.48
109,2023-03-30 10:06:16.000,Valorant,YOUTUBE,Evil Exhibited ,12320,463,Video,3.7581168831168834
110,2023-03-30 10:00:10.000,General ,TIKTOK_BUSINESS,Evergreen ,1055,144,Video,13.649289099526065
111,2023-03-30 09:42:19.770,DOTA2,TWITTER,N/A ,157,1,Text,0.6369426751592357
112,2023-03-30 09:40:19.117,DOTA2,TWITTER,N/A ,679,45,Photo,6.62739322533137
113,2023-03-30 09:10:37.784,General ,TWITTER,Community Engagement ,497,2,Text,0.4024144869215292
114,2023-03-30 09:00:23.000,General ,INSTAGRAM,Community Engagement ,23121,2144,Carousel,9.272955322001645
121,2023-03-30 09:00:13.867,General ,TWITTER,Community Engagement ,10447,208,Photo,1.991002201588973
122,2023-03-30 09:00:11.000,General ,FBPAGE,Community Engagement ,59132,5038,Photo,8.519921531488873
123,2023-03-30 09:00:11.000,General ,FBPAGE,Community Engagement ,29566,2519,Photo,8.519921531488873
124,2023-03-30 09:00:11.000,General ,FBPAGE,Community Engagement ,29566,2519,Photo,8.519921531488873
125,2023-03-30 08:30:03.000,General ,FBPAGE,Community Engagement ,20930,5369,Photo,25.65217391304348
126,2023-03-30 08:30:03.000,General ,FBPAGE,Community Engagement ,20930,5369,Photo,25.65217391304348
127,2023-03-30 08:30:03.000,General ,FBPAGE,Community Engagement ,41860,10736,Photo,25.64739608217869
128,2023-03-30 08:30:02.300,DOTA2,TWITTER,Community Engagement ,6655,307,Photo,4.6130728775356875
129,2023-03-29 16:27:56.000,General ,TIKTOK_BUSINESS,N/A ,415,45,Video,10.843373493975903
131,2023-03-29 15:30:24.000,General ,INSTAGRAM,Evergreen ,41667,1516,Video,3.6383708930328558
132,2023-03-29 15:30:06.000,General ,TIKTOK_BUSINESS,Evergreen ,119,4,Video,3.361344537815126
133,2023-03-29 14:48:16.542,General ,TWITTER,Evil Exhibited ,976,16,Text,1.639344262295082
134,2023-03-29 14:37:07.000,General ,YOUTUBE,N/A ,2261,24,Video,1.0614772224679345
135,2023-03-29 14:34:07.000,General ,YOUTUBE,N/A ,2402,36,Video,1.4987510407993339
136,2023-03-29 14:19:36.337,General ,TWITTER,Evil Exhibited ,171,11,Text,6.432748538011696
137,2023-03-29 13:58:49.000,General ,YOUTUBE,N/A ,2709,89,Video,3.2853451458102625
138,2023-03-29 13:25:10.006,General ,TWITTER,Evil Exhibited ,2088,55,Video,2.6340996168582373
139,2023-03-29 13:24:21.409,General ,TWITTER,Evil Exhibited ,2402,58,Video,2.4146544546211492
140,2023-03-29 13:10:03.736,General ,TWITTER,Evil Exhibited ,1651,18,Text,1.0902483343428226
142,2023-03-29 13:06:40.429,General ,TWITTER,Evil Exhibited ,506,28,Text,5.533596837944664
143,2023-03-29 13:06:32.836,General ,TWITTER,Evil Exhibited ,428,9,Text,2.102803738317757
144,2023-03-29 13:00:36.267,DOTA2,TWITTER,Evil Exhibited ,1146,79,Video,6.893542757417102
145,2023-03-29 13:00:20.567,General ,TWITTER,Evil Exhibited ,17964,606,Text,3.373413493653975
152,2023-03-29 13:00:07.000,General ,INSTAGRAM,Evil Exhibited ,9463,195,Video,2.060657296840325
153,2023-03-29 13:00:01.868,General ,TWITTER,Evil Exhibited ,172409,8900,Video,5.162143507589511
154,2023-03-29 13:00:01.000,General ,FBPAGE,Evil Exhibited ,10279,819,Video,7.967701138243019
155,2023-03-29 13:00:01.000,General ,FBPAGE,Evil Exhibited ,10633,516,Video,4.852816702717953
156,2023-03-29 12:49:41.000,General ,INSTAGRAM,Evergreen ,186,6,Video,3.225806451612903
157,2023-03-29 12:49:02.000,General ,TIKTOK_BUSINESS,Evergreen ,101,8,Video,7.920792079207921
158,2023-03-29 12:38:33.983,General ,TWITTER,Community Engagement ,26091,32,Link,0.12264765627994327
160,2023-03-29 12:26:49.000,General ,INSTAGRAM,Community Engagement ,3999,0,Photo,0.0
161,2023-03-29 12:25:42.813,General ,TWITTER,Community Engagement ,12469,64,Link,0.5132729168337476
